# See https://github.com/krateng/maloja/blob/c6cf28896ca836407a1943cae5542d2b83d009cf/maloja/data_files/config/rules/rules.info

# DESC: Defines artists with separators in their names
belongtogether	M|O|O|N
belongtogether	Морэ & Рэльсы
belongtogether	AC/DC

# DESC: Aliases / translations / transliteration
replaceartist	Samoe Bolshoe Prostoe Chislo	Самое Большое Простое Число
replaceartist	Zemfira	Земфира
replaceartist	Zемфира	Земфира
replaceartist	Kino	Кино
replaceartist	Viacheslav Butusov	Вячеслав Бутусов
replaceartist	Vyacheslav Butusov	Вячеслав Бутусов
replaceartist	Naik Borzov	Найк Борзов
replaceartist	Bi-2	Би-2
replaceartist	Splean	Сплин
replaceartist	Mumiy Troll	Мумий Тролль
replaceartist	7b	7Б
replaceartist	Krovostok	Кровосток
replaceartist	Naadia	Наадя
replaceartist	PCP	Perforated Cerebral Party
replaceartist	МОРЭ&РЭЛЬСЫ	Морэ & Рэльсы

replaceartist	4.А.Й.К.А	4.А.Й.К.А.
replaceartist	И Друг Мой Грузовик...	...И Друг Мой Грузовик
replaceartist	Я И Друг Мой Грузовик	...И Друг Мой Грузовик
replaceartist	Vagonovozhatye	Вагоновожатые
replaceartist	Okean Elzy	Океан Ельзи
replaceartist	Skryabin	Скрябін
replaceartist	DakhaBrakha	ДахаБраха

replaceartist	Kate Tempest	Kae Tempest
replaceartist	Lyapis Trubetskoy	Ляпис Трубецкой
replaceartist	Алина Орлова	Alina Orlova
